id,ACTION
1,0.0959248376365722
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,0.5366493136059088
10,1
11,1
12,1
13,1
14,1
15,0.6639844821283697
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,0.8638993901773234
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0.7687731606963901
38,1
39,0.9187942601503684
40,0.8726648314775391
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0.9538705713271708
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0.7687731606963901
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,0.14205426630940132
79,0.35155190297512795
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0.6639844821283697
93,1
94,1
95,1
96,1
97,0.7540540629094497
98,1
99,1
100,1
101,0.9852809022130595
102,0.8306781355203777
103,1
104,1
105,0.4327576428247597
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0.9538705713271708
116,1
117,1
118,1
119,1
120,1
121,0.9538705713271708
122,1
123,1
124,1
125,1
126,1
127,1
128,0.9538705713271708
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,0.5994512962167678
140,1
141,1
142,0.8306781355203777
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,0.8306781355203777
155,1
156,0.8786184879642639
157,1
158,1
159,1
160,0.9852809022130595
161,0.4327576428247597
162,0.7687731606963901
163,1
164,1
165,1
166,1
167,0.9852809022130595
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,0.08120573984963171
182,1
183,1
184,0.7687731606963901
185,1
186,0.8638993901773234
187,1
188,1
189,0.7079246342366204
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,0.26524670211619444
201,1
202,0.9538705713271708
203,0.9538705713271708
204,1
205,1
206,1
207,1
208,1
209,0.6492653843414291
210,1
211,0.7687731606963901
212,1
213,1
214,1
215,1
216,0.6492653843414291
217,1
218,1
219,1
220,1
221,0.8786184879642639
222,1
223,1
224,1
225,0.8786184879642639
226,0.527883872305693
227,0.9391514735402303
228,1
229,1
230,1
231,0.8786184879642639
232,0.6639844821283697
233,1
234,0.23017039093939184
235,0.8786184879642639
236,1
237,1
238,1
239,1
240,1
241,1
242,0.9538705713271708
243,0.12733516852246085
244,1
245,1
246,1
247,1
248,0.9187942601503684
249,1
250,1
251,1
252,1
253,0.7687731606963901
254,0.9187942601503684
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,0.8786184879642639
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0.8324890592914347
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0.9538705713271708
287,1
288,1
289,1
290,1
291,0.8306781355203777
292,1
293,1
294,1
295,0.9538705713271708
296,0
297,0.4946626176487474
298,0.8786184879642639
299,0.3585620078260708
300,1
301,0.6639844821283697
302,1
303,1
304,0.9538705713271708
305,1
306,1
307,1
308,1
309,1
310,1
311,0.9538705713271708
312,1
313,1
314,1
315,1
316,1
317,0.6639844821283697
318,1
319,1
320,1
